Code,Collector,Number,Date,Bag,T3,T4,GC
428,JK,594,9/24/2021,22,292.9,162.7,370.9
429,JK,595,9/24/2021,22,134.5,101.9,192.7
430,JK,596,9/24/2021,22,81.4,77.3,369.3
431,JK,597,9/25/2021,22,26.9,48.8,37.5
432,JK,598,9/25/2021,22,192.7,240.1,839.6
433,JK,599,9/26/2021,22,96,130.6,24.8
434,JK,600,9/26/2021,22,17.1,30.5,28.7
435,JK,601,9/26/2021,22,102.6,122.4,32
436,JK,608,9/29/2021,22,98.7,112.1,337
437,JK,609,9/29/2021,22,111,104.8,428.4
438,JK,610,9/29/2021,22,455.9,334.1,512.5
439,JK,611,9/29/2021,22,138.1,80.8,235.8
440,TC,03,7/10/2020,39,83,56.6,203.4
441,TC,10,7/10/2020,39,290,326.8,745.3
442,TC,07,7/15/2020,39,205.1,104.3,131.9
443,TC,01,7/20/2020,39,23,38.5,8.8
444,TC,02,7/20/2020,39,55.4,67.6,370.6
445,TC,03,7/20/2020,39,37.9,47.3,259
446,TC,08,7/21/2020,39,66.4,58.3,61.6
447,TC,09,7/21/2020,39,21,7.2,292.1
448,TC,02,7/27/2020,39,29.2,26.5,78.9
449,TC,03,7/27/2020,39,29.8,38.4,594
450,TC,05,7/27/2020,39,77.1,71.6,94.8
451,TC,01,7/29/2020,39,74.2,45.9,107.9
452,TC,02,7/29/2020,39,80.7,40.8,113.6
453,JK,325,4/28/2021,35,96.5,36.7,267.9
454,JK,334,5/6/2021,35,54.2,29.4,41.3
455,JK,336,5/7/2021,35,73.6,62.7,339.3
456,JK,343,5/15/2021,35,378.3,115.3,185.4
457,JK,355,5/25/2021,35,79.5,58.3,52
458,JK,358,5/30/2021,35,45.6,76.3,32.6
459,JK,368,6/13/2021,35,70.7,44.7,56.9
460,JK,370,6/13/2021,35,233.1,134.5,31.1
461,JK,375,6/20/2021,35,27.7,25.8,86.5
462,JK,392,7/12/2021,35,108.2,1271.8,344.2
463,JK,394,7/10/2021,35,41.5,48.5,180.8
464,JY,01,4/16/2021,35,57.6,29.6,311.7
465,TC,03,5/19/2021,35,74.8,46.2,152.2
466,TC,05,5/19/2021,35,146.6,71.7,80.1
467,TC,02,6/14/2021,35,90,60.9,36.1
468,TC,07,6/14/2021,35,57.8,34.4,223.8
469,TC,08,6/15/2021,35,245,80,281.6
470,TC,05,7/14/2021,35,90.6,64.5,414.6
471,TC,13,7/12/2021,35,12.8,15.9,96.1
472,TC,13,7/13/2021,35,17.1,7.7,33.9
473,JK,295,4/5/2021,24,120.9,55.9,314.3
474,JK,298,4/6/2021,24,130.6,55.5,20.7
475,JK,300,4/7/2021,24,80.6,82,53.1
