SampleID,Individual
S20_3749,SFCoy33
S20_3800,SFCoy33
S20_3798,SFCoy33
S20_3782,SFCoy35
S21_1089,SFCoy35
S20_3855,SFCoy35
S20_3786,SFCoy36
S20_3715,SFCoy37
S20_3787,SFCoy37
S20_3797,SFCoy39
S19_5662,SFCoy4
S21_0127,SFCoy4
S20_3717,SFCoy4
S20_3756,SFCoy4
S20_3802,SFCoy40
S20_3830,SFCoy40
S20_3828,SFCoy40
S21_2385,SFCoy40
S21_3270,SFCoy40
S20_3737,SFCoy41
S20_3812,SFCoy41
S20_3809,SFCoy41
S18_1182,SFCoy42
S21_0077,SFCoy42
S21_0079,SFCoy42
S21_0082,SFCoy42
S21_0102,SFCoy42
S20_3710,SFCoy42
S21_0144,SFCoy42
S20_3766,SFCoy42
S20_3825,SFCoy42
S19_5651,SFCoy44
S20_3639,SFCoy44
S20_3672,SFCoy44
S20_3817,SFCoy44
S20_3816,SFCoy44
S20_3834,SFCoy44
S20_3833,SFCoy44
S21_0171,SFCoy44
S21_0179,SFCoy44
S21_1132,SFCoy44
S21_1180,SFCoy44
S21_2064,SFCoy44
S21_5123,SFCoy44
S20_3835,SFCoy45
S21_0016,SFCoy45
S21_1125,SFCoy45
S21_1124,SFCoy45
S21_1167,SFCoy45
S21_1240,SFCoy45
S21_1303,SFCoy45
S21_2066,SFCoy45
S20_3837,SFCoy46
S21_0157,SFCoy46
S21_0006,SFCoy47
S21_0028,SFCoy47
S21_0027,SFCoy47
S21_1108,SFCoy47
S20_3813,SFCoy49
S20_3832,SFCoy49
S21_0167,SFCoy49
S21_0013,SFCoy49
S21_0012,SFCoy49
S21_0011,SFCoy49
S21_0010,SFCoy49
S21_2080,SFCoy49
S21_4931,SFCoy49
S21_4999,SFCoy49
S20_3616,SFCoy5
S20_3662,SFCoy50
S21_0168,SFCoy50
S21_0018,SFCoy50
S21_0175,SFCoy50
S21_0034,SFCoy50
S21_1096,SFCoy50
S21_1112,SFCoy50
S21_1111,SFCoy50
S21_1222,SFCoy50
S21_1199,SFCoy50
S21_1225,SFCoy50
S21_2079,SFCoy50
S21_3304,SFCoy50
S21_4935,SFCoy50
S21_4934,SFCoy50
S21_4992,SFCoy50
S21_5011,SFCoy50
S21_5094,SFCoy50
S21_5097,SFCoy50
S22_0889,SFCoy50
S20_3827,SFCoy52
S20_3826,SFCoy52
S21_0003,SFCoy52
S21_0040,SFCoy52
S18_1429,SFCoy53
S20_3720,SFCoy53
S21_1197,SFCoy53
S21_1227,SFCoy53
S21_1304,SFCoy53
S21_2049,SFCoy53
S21_2048,SFCoy53
S21_0047,SFCoy54
S21_2046,SFCoy54
S21_5014,SFCoy54
S19_5667,SFCoy55
S19_5666,SFCoy55
S19_5668,SFCoy55
S21_0069,SFCoy55
S21_0078,SFCoy55
S21_0119,SFCoy55
S21_0120,SFCoy55
S21_0159,SFCoy55
S21_1127,SFCoy55
S21_1164,SFCoy55
S21_1190,SFCoy55
S21_1198,SFCoy55
S22_0887,SFCoy55
S21_0075,SFCoy56
S21_0090,SFCoy58
S20_3624,SFCoy6
S21_0096,SFCoy6
S21_1086,SFCoy6
S21_0109,SFCoy60
S21_0112,SFCoy60
S21_0123,SFCoy60
S21_0126,SFCoy60
S21_0143,SFCoy60
S21_0118,SFCoy60
S18_1434,SFCoy61
S19_5658,SFCoy61
S19_5660,SFCoy61
S19_5661,SFCoy61
S20_3619,SFCoy61
S20_3621,SFCoy61
S20_3623,SFCoy61
S20_3622,SFCoy61
S21_0095,SFCoy61
S21_0110,SFCoy61
S21_0116,SFCoy61
S21_0132,SFCoy61
S20_3856,SFCoy61
S21_0160,SFCoy61
S21_0166,SFCoy61
S21_1142,SFCoy61
S21_1118,SFCoy61
S21_1192,SFCoy61
S21_1315,SFCoy61
S21_1320,SFCoy61
S21_2037,SFCoy61
S21_2400,SFCoy61
S21_3224,SFCoy61
S21_3414,SFCoy61
S21_4946,SFCoy61
S21_5020,SFCoy61
S22_1007,SFCoy61
S22_1008,SFCoy61
S18_1430,SFCoy63
S21_0149,SFCoy64
S21_0155,SFCoy66
S21_0165,SFCoy66
S21_0170,SFCoy66
S21_0184,SFCoy66
S21_0183,SFCoy66
S21_1144,SFCoy66
S21_1233,SFCoy66
S21_1232,SFCoy66
S21_1299,SFCoy66
S21_1305,SFCoy66
S21_1310,SFCoy66
S21_1312,SFCoy66
S21_1314,SFCoy66
S21_1319,SFCoy66
S21_2069,SFCoy66
S21_2075,SFCoy66
S21_2392,SFCoy66
S21_2395,SFCoy66
S21_3208,SFCoy66
S21_3393,SFCoy66
S21_4912,SFCoy66
S21_5100,SFCoy66
S22_1013,SFCoy66
S22_1015,SFCoy66
S22_1014,SFCoy66
S18_1436,SFCoy67
S21_0164,SFCoy69
S20_3625,SFCoy7
S20_3778,SFCoy70
S20_3777,SFCoy70
S20_3776,SFCoy70
S21_0178,SFCoy70
S21_0177,SFCoy70
S21_1281,SFCoy70
S21_3342,SFCoy70
S21_4906,SFCoy70
S21_5017,SFCoy70
S21_4961,SFCoy70
S21_1095,SFCoy71
S21_1098,SFCoy72
S21_1187,SFCoy72
S21_1223,SFCoy72
S21_1269,SFCoy72
S21_2402,SFCoy72
S22_0860,SFCoy72
S18_1201,SFCoy73
S18_1438,SFCoy73
S18_2353,SFCoy73
S20_3618,SFCoy73
S20_3642,SFCoy73
S21_0105,SFCoy73
S20_3659,SFCoy73
S20_3653,SFCoy73
S20_3701,SFCoy73
S21_0049,SFCoy73
S21_0050,SFCoy73
S21_1135,SFCoy73
S21_1143,SFCoy73
S21_1159,SFCoy73
S21_1158,SFCoy73
S21_1157,SFCoy73
S21_1163,SFCoy73
S21_1162,SFCoy73
S21_1174,SFCoy73
S21_1186,SFCoy73
S21_2061,SFCoy73
S21_2397,SFCoy73
S21_3429,SFCoy73
S21_3249,SFCoy73
S21_1104,SFCoy74
S21_1117,SFCoy76
S21_1121,SFCoy77
S21_1165,SFCoy77
S21_1287,SFCoy77
S21_1286,SFCoy77
S21_3416,SFCoy77
S21_0041,SFCoy78
S21_0057,SFCoy78
S21_1123,SFCoy78
S20_3627,SFCoy8
S20_3628,SFCoy8
S20_3630,SFCoy8
S20_3724,SFCoy8
S21_0153,SFCoy8
S21_0154,SFCoy8
S21_0007,SFCoy8
S21_0008,SFCoy8
S21_1106,SFCoy8
S21_2042,SFCoy8
S21_2387,SFCoy8
S21_3268,SFCoy8
S21_3278,SFCoy8
S21_5056,SFCoy8
S22_0986,SFCoy8
S22_0985,SFCoy8
S21_1152,SFCoy80
S21_1153,SFCoy80
S21_1156,SFCoy80
S21_1155,SFCoy80
S21_1183,SFCoy80
S21_2358,SFCoy80
S21_1184,SFCoy80
S21_1236,SFCoy80
S21_1235,SFCoy80
S21_2394,SFCoy80
S21_3402,SFCoy80
S21_4988,SFCoy80
S22_0867,SFCoy80
S22_3046,SFCoy80
S19_5664,SFCoy81
S21_0084,SFCoy81
S20_3729,SFCoy81
S21_1154,SFCoy81
S21_1161,SFCoy81
S21_1220,SFCoy81
S21_1231,SFCoy81
S21_1210,SFCoy81
S21_1300,SFCoy81
S21_4901,SFCoy81
S21_0113,SFCoy85
S21_0114,SFCoy85
S20_3719,SFCoy85
S20_3727,SFCoy85
S20_3725,SFCoy85
S20_3824,SFCoy85
S20_3822,SFCoy85
S21_0022,SFCoy85
S21_1146,SFCoy85
S21_3186,SFCoy85
S21_1149,SFCoy85
S21_1148,SFCoy85
S21_1150,SFCoy85
S21_1119,SFCoy85
S21_1228,SFCoy85
S21_1258,SFCoy85
S21_1317,SFCoy85
S21_1278,SFCoy85
S21_3210,SFCoy85
S22_0854,SFCoy85
S22_0863,SFCoy85
S22_0862,SFCoy85
S21_1237,SFCoy86
S20_3665,SFCoy87
S20_3692,SFCoy87
S21_0025,SFCoy87
S21_1230,SFCoy87
S21_1239,SFCoy87
S21_1242,SFCoy87
S21_1241,SFCoy87
S21_1297,SFCoy87
S21_1298,SFCoy87
S21_1302,SFCoy87
S21_1316,SFCoy87
S21_1321,SFCoy87
S21_4938,SFCoy87
S21_5085,SFCoy87
S21_5087,SFCoy87
S21_5078,SFCoy87
S22_0895,SFCoy87
S22_0898,SFCoy87
S22_0899,SFCoy87
S22_0997,SFCoy87
S18_1191,SFCoy88
S20_3694,SFCoy89
S21_0039,SFCoy89
S21_1129,SFCoy89
S21_1128,SFCoy89
S21_1136,SFCoy89
S21_1270,SFCoy89
S21_3175,SFCoy89
S21_4995,SFCoy89
S22_1002,SFCoy89
S24_1419,SFCoy89
S20_3626,SFCoy9
S20_3629,SFCoy9
S21_0074,SFCoy9
S21_0076,SFCoy9
S20_3674,SFCoy9
S20_3673,SFCoy9
S21_0139,SFCoy9
S20_3728,SFCoy9
S20_3752,SFCoy9
S20_3792,SFCoy9
S21_0152,SFCoy9
S21_0036,SFCoy9
S21_1131,SFCoy9
S21_1175,SFCoy9
S21_1173,SFCoy9
S21_1177,SFCoy9
S21_1185,SFCoy9
S21_2083,SFCoy9
S21_2396,SFCoy9
S21_3343,SFCoy9
S21_5127,SFCoy9
S21_1172,SFCoy90
S21_1191,SFCoy90
S21_1189,SFCoy90
S21_1188,SFCoy90
S21_1208,SFCoy90
S21_1274,SFCoy90
S21_1273,SFCoy90
S21_1272,SFCoy90
S21_1271,SFCoy90
S21_2084,SFCoy90
S21_2036,SFCoy90
S21_2403,SFCoy90
S21_5077,SFCoy90
S22_0852,SFCoy90
S22_0861,SFCoy90
S18_1205,SFCoy93
S21_1280,SFCoy93
S21_5084,SFCoy93
S21_1290,SFCoy94
S21_3197,SFCoy94
S21_3262,SFCoy94
S21_3261,SFCoy94
S21_3259,SFCoy94
S21_5042,SFCoy94
S21_5044,SFCoy94
S21_5058,SFCoy94
S21_5057,SFCoy94
S20_3714,SFCoy95
S20_3733,SFCoy95
S20_3732,SFCoy95
S20_3731,SFCoy95
S20_3759,SFCoy95
S20_3758,SFCoy95
S20_3757,SFCoy95
S21_0026,SFCoy95
S21_1219,SFCoy95
S21_1218,SFCoy95
S21_1217,SFCoy95
S21_1295,SFCoy95
S21_1296,SFCoy95
S21_2060,SFCoy95
S21_2062,SFCoy95
S21_2072,SFCoy95
S21_2086,SFCoy95
S21_2054,SFCoy95
S21_2398,SFCoy95
S21_3387,SFCoy95
S21_5113,SFCoy95
S21_5121,SFCoy95
S18_1431,SFCoy96
S18_2349,SFCoy96
S18_2348,SFCoy96
S18_2358,SFCoy96
S21_0081,SFCoy96
S21_0085,SFCoy96
S21_1293,SFCoy96
S21_1292,SFCoy96
S21_1318,SFCoy96
S21_2070,SFCoy96
S21_2409,SFCoy96
S21_3231,SFCoy96
S21_1324,SFCoy97
S21_1323,SFCoy97
S21_2077,SFCoy97
S21_3234,SFCoy97
S21_3232,SFCoy97
S21_3237,SFCoy97
S22_0871,SFCoy97
S21_2039,SFCoy99
S21_3240,SFCoy99
S21_3241,SFCoy99
S21_5076,SFCoy99
S24_1418,SFCoy261
S24_1420,SFCoy262
S24_1421,SFCoy263
S24_1422,SFCoy264
S24_1424,SFCoy265
S24_1425,SFCoy266
