SampleID,Replicate,FieldID,Site,Area,Initials,Year,Month,Day,Condition,Lat,Long,Geno.Sp,Cytb_Sp
S20_3672,None,20200713-TC-06,STMA,Urban,TC,2020,7,13,fresh,37.73299,-122.41945,coyote,coyote
S20_3673,None,20200713-TC-07,GLEN,Urban,TC,2020,7,13,not fresh,37.73826,-122.4405,coyote,coyote
S20_3674,None,20200713-TC-08,GLEN,Urban,TC,2020,7,13,not fresh,37.73956,-122.44024,coyote,coyote
S20_3675,None,20200715-TC-01,LAGU,Urban,TC,2020,7,15,<2 days,37.74791,-122.45181,dog,dog
S20_3676,None,20200715-TC-02,LAGU,Urban,TC,2020,7,15,not fresh,37.74786,-122.45181,dog,dog
S20_3677,None,20200715-TC-03,LAGU,Urban,TC,2020,7,15,fresh,37.74784,-122.4518,dog,NA
S20_3678,None,20200715-TC-04,LAGU,Urban,TC,2020,7,15,fresh,37.74784,-122.45179,dog,NA
S20_3679,None,20200715-TC-05,LAGU,Urban,TC,2020,7,15,not fresh,37.74977,-122.45551,NA,coyote
S20_3680,None,20200715-TC-06,TGPH,Urban,TC,2020,7,15,not fresh,37.80308,-122.40651,coyote,coyote
S20_3681,None,20200715-TC-07,TGPH,Urban,TC,2020,7,15,<2 days,37.80299,-122.40561,NA,coyote
S20_3682,None,20200715-TC-08,TGPH,Urban,TC,2020,7,15,fresh,37.80315,-122.40625,coyote,coyote
S20_3683,None,20200716-TC-01,USF,Urban,TC,2020,7,16,not fresh,37.77983,-122.45082,NA,raccoon
S20_3684,None,20200716-TC-02,LEND,Urban,TC,2020,7,16,fresh,37.78644,-122.4956,coyote,coyote
S20_3685,None,20200716-TC-03,LEND,Urban,TC,2020,7,16,not fresh,37.78191,-122.50252,coyote,coyote
S20_3686,None,20200716-TC-04,LEND,Urban,TC,2020,7,16,fresh,37.78396,-122.5067,dog,NA
S20_3687,None,20200716-TC-05,PRES,Urban,TC,2020,7,16,not fresh,37.79796,-122.46343,coyote,coyote
S20_3688,None,20200716-TC-06,PRES,Urban,TC,2020,7,16,not fresh,37.79592,-122.45011,NA,pig
S20_3689,None,20200720-TC-01,LAKE,Urban,TC,2020,7,20,<2 days,37.71774,-122.48797,NA,fail
S20_3690,None,20200720-TC-02,LAKE,Urban,TC,2020,7,20,<2 days,37.7174,-122.48744,NA,canine/messy
S20_3691,None,20200720-TC-03,LAKE,Urban,TC,2020,7,20,<2 days,37.71742,-122.48747,NA,coyote
S20_3692,None,20200720-TC-04,MCLA,Urban,TC,2020,7,20,fresh,37.71817,-122.42134,coyote,coyote
S20_3693,None,20200720-TC-05,MCLA,Urban,TC,2020,7,20,fresh,37.71798,-122.42185,coyote,coyote
S20_3694,None,20200721-TC-01,GGPE,Urban,TC,2020,7,21,fresh,37.7711,-122.46906,coyote,coyote
S20_3695,None,20200721-TC-02,GGPE,Urban,TC,2020,7,21,fresh,37.77097,-122.46976,coyote,coyote
S20_3696,None,20200721-TC-03,GGPE,Urban,TC,2020,7,21,not fresh,37.77095,-122.46955,coyote,coyote
S20_3697,None,20200721-TC-04,GGPW,Urban,TC,2020,7,21,fresh,37.77075,-122.50702,dog,dog
S20_3698,None,20200721-TC-05,GGPW,Urban,TC,2020,7,21,<2 days,37.77082,-122.50692,dog,dog
S20_3699,None,20200721-TC-06,GGPW,Urban,TC,2020,7,21,fresh,37.77077,-122.507,NA,dog
S20_3700,None,20200721-TC-07,GGPW,Urban,TC,2020,7,21,fresh,37.7708,-122.50693,dog,dog
S20_3701,None,20200721-TC-08,BVP,Urban,TC,2020,7,21,<2 days,37.76668,-122.44187,coyote,coyote
S20_3702,None,20200721-TC-09,BVP,Urban,TC,2020,7,21,<2 days,37.76753,-122.44136,coyote,coyote
S20_3703,None,20200721-TC-10,BVP,Urban,TC,2020,7,21,fresh,37.76753,-122.44136,coyote,coyote
S20_3704,None,20200721-TC-11,BVP,Urban,TC,2020,7,21,fresh,37.7673,-122.44196,NA,coyote
S20_3705,None,20200721-TC-12,BVP,Urban,TC,2020,7,21,fresh,37.76689,-122.44207,coyote,coyote
S20_3706,None,20200721-TC-13,BVP,Urban,TC,2020,7,21,fresh,37.76906,-122.44176,coyote,coyote
S20_3707,None,20200721-TC-14,BVP,Urban,TC,2020,7,21,fresh,37.76951,-122.44192,coyote,coyote
S20_3708,None,20200721-TC-15,BVP,Urban,TC,2020,7,21,fresh,37.77035,-122.44048,coyote,coyote
S20_3709,None,20200722-TC-01,LAGU,Urban,TC,2020,7,22,not fresh,37.74911,-122.45515,NA,coyote
S20_3710,None,20200722-TC-02,LAGU,Urban,TC,2020,7,22,not fresh,37.74963,-122.45534,coyote,fail
S20_3711,None,20200722-TC-03,TGPH,Urban,TC,2020,7,22,fresh,37.80289,-122.40554,coyote,coyote
S20_3712,None,20200722-TC-04,TGPH,Urban,TC,2020,7,22,not fresh,37.80274,-122.40544,coyote,coyote
S20_3713,None,20200722-TC-05,TGPH,Urban,TC,2020,7,22,<2 days,37.80193,-122.40529,NA,coyote
S20_3714,None,20200727-TC-01,OLYM,Urban,TC,2020,7,27,fresh,37.7046,-122.4886,coyote,coyote
S20_3715,None,20200727-TC-02,OLYM,Urban,TC,2020,7,27,<2 days,37.7046,-122.48919,coyote,coyote
S20_3716,None,20200727-TC-03,OLYM,Urban,TC,2020,7,27,<2 days,37.70462,-122.4893,NA,coyote
S20_3717,None,20200727-TC-04,OLYM,Urban,TC,2020,7,27,fresh,37.70497,-122.49011,coyote,coyote
S20_3718,None,20200727-TC-05,OLYM,Urban,TC,2020,7,27,<2 days,37.70409,-122.48917,NA,coyote
S20_3719,None,20200727-TC-06,GLEN,Urban,TC,2020,7,27,not fresh,37.73864,-122.4404,coyote,coyote
S20_3720,None,20200728-TC-01,LEND,Urban,TC,2020,7,28,fresh,37.78591,-122.49964,coyote,coyote
S20_3721,None,20200728-TC-02,LEND,Urban,TC,2020,7,28,not fresh,37.78408,-122.50578,coyote,coyote
S20_3722,None,20200728-TC-03,LEND,Urban,TC,2020,7,28,fresh,37.78406,-122.50578,coyote,coyote
S20_3723,None,20200728-TC-04,GGPW,Urban,TC,2020,7,28,not fresh,37.77087,-122.50681,NA,NA
S20_3724,None,20200729-TC-01,PRES,Urban,TC,2020,7,29,<2 days,37.7913,-122.48105,coyote,coyote
S20_3725,None,20200729-TC-02,LAGU,Urban,TC,2020,7,29,<2 days,37.75103,-122.46061,coyote,coyote
S20_3726,None,20200729-TC-03,LAGU,Urban,TC,2020,7,29,not fresh,37.7501,-122.45915,coyote,coyote
S20_3727,None,20200729-TC-04,LAGU,Urban,TC,2020,7,29,<2 days,37.75039,-122.4595,coyote,coyote
S20_3728,None,20200729-TC-05,LAGU,Urban,TC,2020,7,29,not fresh,37.74778,-122.45173,coyote,coyote
S20_3729,None,20200729-TC-06,LAGU,Urban,TC,2020,7,29,fresh,37.74976,-122.45499,coyote,coyote
S20_3730,None,20200803-TC-01,SFGC,Urban,TC,2020,8,3,<2 days,37.70751,-122.47716,NA,coyote
S20_3731,None,20200803-TC-02,SFGC,Urban,TC,2020,8,3,<2 days,37.70768,-122.47727,coyote,coyote
S20_3732,None,20200803-TC-03,SFGC,Urban,TC,2020,8,3,<2 days,37.70765,-122.47731,coyote,coyote
S20_3733,None,20200803-TC-04,SFGC,Urban,TC,2020,8,3,fresh,37.70998,-122.47543,coyote,coyote
S20_3734,None,20200803-TC-05,SFGC,Urban,TC,2020,8,3,<2 days,37.71025,-122.47381,NA,coyote
S20_3735,None,20200803-TC-06,SFGC,Urban,TC,2020,8,3,fresh,37.7101,-122.47407,coyote,coyote
S20_3736,None,20200803-TC-07,MCLA,Urban,TC,2020,8,3,not fresh,37.71759,-122.41342,NA,fail
S20_3737,None,20200803-TC-08,MCLA,Urban,TC,2020,8,3,not fresh,37.71355,-122.42541,coyote,coyote
S20_3738,None,20200803-TC-09,MCLA,Urban,TC,2020,8,3,<2 days,37.71255,-122.42656,coyote,coyote
S20_3739,None,20200803-TC-10,STMA,Urban,TC,2020,8,3,fresh,37.73387,-122.42192,coyote,dog
S20_3740,None,20200803-TC-11,STMA,Urban,TC,2020,8,3,fresh,37.73475,-122.4208,coyote,coyote
S20_3741,None,20200803-TC-12,STMA,Urban,TC,2020,8,3,<2 days,37.73387,-122.42145,coyote,NA
S20_3742,None,20200803-TC-13,BERN,Urban,TC,2020,8,3,not fresh,37.74308,-122.41082,coyote,NA
S20_3743,None,20200804-TC-01,GGPE,Urban,TC,2020,8,4,<2 days,37.77029,-122.47452,NA,NA
S20_3744,None,20200804-TC-02,GGPE,Urban,TC,2020,8,4,fresh,37.7704,-122.47499,coyote,NA
S20_3745,None,20200804-TC-03,GGPE,Urban,TC,2020,8,4,<2 days,37.77012,-122.47396,NA,NA
S20_3746,None,20200804-TC-04,GGPE,Urban,TC,2020,8,4,<2 days,37.77091,-122.4706,NA,NA
S20_3747,None,20200804-TC-05,BVP,Urban,TC,2020,8,4,<2 days,37.76967,-122.44194,coyote,NA
S20_3748,None,20200804-TC-06,CHP,Urban,TC,2020,8,4,not fresh,37.7658,-122.43915,coyote,NA
S20_3749,None,20200805-TC-01,PRES,Urban,TC,2020,8,5,fresh,37.79348,-122.45705,coyote,NA
