"SampleID","imperv_prop_500m","mean_imperv_pct_500m","imperv_prop_1km","mean_imperv_pct_1km"
"S21_2368",0.374701057678855,37.4701057678855,0.417653991539622,41.7653991539622
"S21_2365",0.630758843626137,63.0758843626137,0.685702973659372,68.5702973659372
"S21_2375",0.192597750984652,19.2597750984652,0.341092649056243,34.1092649056243
"S20_3756",0.322089541836206,32.2089541836206,0.381830370150064,38.1830370150064
"S20_3776",0.324223036162611,32.4223036162611,0.50197284947517,50.197284947517
"S20_3777",0.315087996804714,31.5087996804714,0.502173129601012,50.2173129601012
"S20_3759",0.38675743657399,38.675743657399,0.407541246349711,40.7541246349711
"S20_3758",0.372259744033304,37.2259744033304,0.405194392230051,40.5194392230051
"S20_3755",0.348087434990462,34.8087434990462,0.391593052594922,39.1593052594922
"S20_3829",0.418402832605772,41.8402832605773,0.530385182747792,53.0385182747792
"S20_3837",0.633190558685744,63.3190558685744,0.684365034769492,68.4365034769492
"S21_0009",0.633116531041478,63.3116531041478,0.682937703118715,68.2937703118715
"S21_0010",0.633777230391114,63.3777230391114,0.684608670372628,68.4608670372628
"S21_0022",0.446213570888524,44.6213570888524,0.536010761419539,53.6010761419539
"S21_0027",0.811930600418698,81.1930600418698,0.828572061622321,82.8572061622321
"S21_0031",0.604422056749549,60.4422056749549,0.735218166538003,73.5218166538003
"S21_3208",0.810308749270889,81.0308749270889,0.828620444540318,82.8620444540318
"S20_3693",0.263769004524034,26.3769004524034,0.428357756981957,42.8357756981957
"S20_3694",0.383771096225033,38.3771096225033,0.512595143201048,51.2595143201048
"S20_3695",0.376063677384127,37.6063677384127,0.513541591209748,51.3541591209748
"S20_3703",0.568088427745368,56.8088427745368,0.693007796670867,69.3007796670867
"S20_3705",0.558856543888891,55.8856543888891,0.682661470503421,68.2661470503421
"S20_3706",0.589468026286933,58.9468026286933,0.695834293787368,69.5834293787368
"S20_3707",0.598436503869531,59.8436503869531,0.693311789593249,69.3311789593249
"S20_3708",0.623566960616256,62.3566960616256,0.697757467336784,69.7757467336784
"S20_3711",0.809149228955578,80.9149228955578,0.830114080453387,83.0114080453387
"S20_3714",0.358270074911848,35.8270074911848,0.396057153668104,39.6057153668104
"S20_3717",0.284588132204709,28.4588132204709,0.362048141991694,36.2048141991694
"S20_3722",0.303274006119442,30.3274006119442,0.398849947449372,39.8849947449372
"S20_3729",0.510526809647078,51.0526809647078,0.485803653354724,48.5803653354724
"S20_3735",0.324306469333393,32.4306469333393,0.503361695837641,50.3361695837641
"S20_3749",0.251481733621497,25.1481733621497,0.375976035504482,37.5976035504482
"S20_3800",0.412741306453909,41.2741306453909,0.530908510997436,53.0908510997436
"S20_3802",0.426844602643057,42.6844602643057,0.534553038823123,53.4553038823123
"S20_3807",0.323080341768417,32.3080341768417,0.456740213749686,45.6740213749686
"S20_3826",0.259759209367122,25.9759209367122,0.446978026842936,44.6978026842936
"S20_3816",0.625420585061229,62.5420585061229,0.686399590196252,68.6399590196252
"S20_3822",0.446996440530239,44.6996440530239,0.535676127426907,53.5676127426907
"S21_3355",0.632629086678192,63.2629086678192,0.684855701460165,68.4855701460165
"S21_3340",0.632629086678192,63.2629086678192,0.684855701460165,68.4855701460165
"S21_3347",0.632629086678192,63.2629086678192,0.684855701460165,68.4855701460165
"S21_3349",0.632629086678192,63.2629086678192,0.684855701460165,68.4855701460165
"S21_3350",0.632629086678192,63.2629086678192,0.684855701460165,68.4855701460165
"S21_3223",0.632629086678192,63.2629086678192,0.684855701460165,68.4855701460165
"S21_3224",0.623126401776951,62.3126401776951,0.541741393336007,54.1741393336007
"S21_3227",0.632629086678192,63.2629086678192,0.684855701460165,68.4855701460165
"S21_3230",0.632629086678192,63.2629086678192,0.684855701460165,68.4855701460165
"S21_3231",0.203840777619532,20.3840777619532,0.461053096954296,46.1053096954296
"S21_3232",0.579637463011747,57.9637463011747,0.581517636275603,58.1517636275603
"S21_3235",0.203840777619532,20.3840777619532,0.461053096954296,46.1053096954296
"S21_3236",0.632629086678192,63.2629086678192,0.684855701460165,68.4855701460165
"S21_3237",0.579637463011747,57.9637463011747,0.581517636275603,58.1517636275603
"S21_3239",0.601965504119563,60.1965504119563,0.718641725580477,71.8641725580477
"S21_3241",0.266101281392181,26.6101281392181,0.334221600105539,33.4221600105539
"S21_1293",0.203840777619532,20.3840777619532,0.461053096954296,46.1053096954296
"S21_1295",0.810308749270889,81.0308749270889,0.828620444540318,82.8620444540318
"S21_1297",0.810308749270889,81.0308749270889,0.828620444540318,82.8620444540318
"S21_1298",0.664743002933335,66.4743002933335,0.673463233668427,67.3463233668427
"S21_1299",0.810308749270889,81.0308749270889,0.828620444540318,82.8620444540318
"S21_1301",0.601965504119563,60.1965504119563,0.718641725580477,71.8641725580477
"S21_1302",0.664743002933335,66.4743002933335,0.673463233668427,67.3463233668427
"S21_1303",0.664743002933335,66.4743002933335,0.673463233668427,67.3463233668427
"S21_1310",0.810308749270889,81.0308749270889,0.828620444540318,82.8620444540318
"S21_1312",0.810308749270889,81.0308749270889,0.828620444540318,82.8620444540318
"S21_1314",0.810308749270889,81.0308749270889,0.828620444540318,82.8620444540318
"S21_1316",0.664743002933335,66.4743002933335,0.673463233668427,67.3463233668427
"S21_3387",0.810308749270889,81.0308749270889,0.828620444540318,82.8620444540318
"S21_3398",0.632629086678192,63.2629086678192,0.684855701460165,68.4855701460165
"S21_3395",0.579637463011747,57.9637463011747,0.581517636275603,58.1517636275603
"S21_3403",0.601965504119563,60.1965504119563,0.718641725580477,71.8641725580477
"S20_3647",0.164003159190591,16.4003159190591,0.249451715322239,24.9451715322239
"S21_0007",0.319959671621492,31.9959671621492,0.390126049660431,39.0126049660431
"S20_3668",0.323034820908315,32.3034820908315,0.379056483745735,37.9056483745735
